"state","number_of_banks","total_net_income_billions","avg_net_income_millions","return_on_assets_pct"
"New Mexico",14,0.14,10.26,1.7689
"Arkansas",40,1.49,37.37,1.6533
"Utah",5,0.22,44.37,1.6002
"Georgia",70,0.94,13.41,1.5338
"West Virginia",14,0.18,12.50,1.5158
"Michigan",33,0.40,12.27,1.5130
"Virginia",9,0.26,28.65,1.4768
"Missouri",104,1.14,10.97,1.4229
"Idaho",3,0.09,29.89,1.4211
"Alaska",3,0.09,31.19,1.4127
"Texas",142,2.46,17.35,1.4117
"Alabama",23,2.38,103.33,1.3908
"Indiana",37,0.61,16.51,1.3891
"Kentucky",34,0.23,6.70,1.3885
"Montana",20,0.57,28.45,1.3871
"Tennessee",35,0.37,10.53,1.3812
"Nebraska",86,0.77,8.92,1.3371
"Kansas",108,0.44,4.11,1.3341
"Oklahoma",57,0.35,6.22,1.2665
"Minnesota",109,0.49,4.54,1.2100
"South Carolina",16,0.46,28.65,1.2077
"Colorado",23,0.51,22.23,1.1894
"Ohio",31,2.36,76.21,1.1772
"Wisconsin",84,0.73,8.65,1.1352
"Wyoming",7,0.05,7.61,1.1270
"Iowa",131,0.77,5.88,1.1126
"Mississippi",24,0.85,35.25,1.1125
"Pennsylvania",13,0.36,27.85,1.1020
"Connecticut",18,1.29,71.48,1.0958
"South Dakota",25,0.21,8.28,1.0781
"North Dakota",34,0.36,10.66,1.0414
"New Jersey",6,0.38,64.04,1.0383
"Hawaii",4,0.58,145.82,1.0344
"North Carolina",7,2.57,367.34,1.0140
"California",16,2.17,135.61,0.9745
"Illinois",161,3.54,22.01,0.9695
"Washington",2,0.12,62.16,0.9596
"Florida",16,0.58,36.05,0.9164
"Oregon",4,0.62,154.15,0.8891
"Maine",15,0.32,21.27,0.8614
"New York",26,0.61,23.50,0.8465
"Massachusetts",6,3.28,546.10,0.8297
"Guam",1,0.02,23.24,0.7708
"Maryland",5,0.03,5.21,0.7695
"Rhode Island",2,0.05,23.17,0.7679
"Louisiana",48,0.24,5.03,0.7573
"Vermont",5,0.03,6.11,0.6356
"Delaware",3,2.23,744.64,0.6068
"New Hampshire",9,0.07,7.56,0.5714
"District Of Columbia",2,0.01,3.51,0.4572
