"year","avg_total_debt_billions","debt_yoy_growth_pct","avg_revolving_billions","avg_nonrevolving_billions","active_banks","bank_avg_return_on_assets","unprofitable_bank_count","pct_banks_unprofitable","systemic_risk_signal"
2016,3499814.94,3.34,896899.38,2602915.56,NULL,NULL,NULL,NULL,"MODERATE RISK"
2017,3707035.31,5.92,950958.82,2756076.50,NULL,NULL,NULL,NULL,"MODERATE RISK"
2018,3891409.77,4.97,998548.24,2892861.53,NULL,NULL,NULL,NULL,"MODERATE RISK"
2019,4075646.30,4.73,1038332.87,3037313.42,NULL,NULL,NULL,NULL,"MODERATE RISK"
2020,4102893.10,0.67,957802.21,3145090.90,NULL,NULL,NULL,NULL,"LOW RISK"
2021,4310711.19,5.07,946970.08,3363741.10,NULL,NULL,NULL,NULL,"MODERATE RISK"
2022,4671425.18,8.37,1082860.16,3588565.03,NULL,NULL,NULL,NULL,"MODERATE RISK"
2023,4905898.63,5.02,1213215.04,3692683.58,NULL,NULL,NULL,NULL,"MODERATE RISK"
2024,4993445.75,1.78,1288509.43,3704936.32,NULL,NULL,NULL,NULL,"LOW RISK"
2025,5008688.76,0.31,1266923.64,3741765.12,1690,1.1829,48,2.84,"LOW RISK"
2026,5099491.22,1.81,1294688.29,3804802.94,NULL,NULL,NULL,NULL,"LOW RISK"
