"year","total_credit_billions","prior_year_total","yoy_growth_pct","auto_loan_yoy_growth_pct","student_loan_yoy_growth_pct","revolving_yoy_growth_pct"
2010,2511093.67,NULL,NULL,NULL,NULL,NULL
2011,2675650.45,2511093.67,6.55,17.58,11.76,-4.68
2012,2810901.61,2675650.45,5.05,0.90,10.78,0.49
2013,2983034.83,2810901.61,6.12,2.79,9.03,1.02
2014,3183499.09,2983034.83,6.72,2.43,8.13,2.92
2015,3386539.05,3183499.09,6.38,0.90,7.20,2.91
2016,3499814.94,3386539.05,3.34,-15.49,6.65,3.57
2017,3707035.31,3499814.94,5.92,-0.34,5.93,6.03
2018,3891409.77,3707035.31,4.97,-0.79,5.58,5.00
2019,4075646.30,3891409.77,4.73,-0.12,4.73,3.98
2020,4102893.10,4075646.30,0.67,-0.22,4.03,-7.76
2021,4310711.19,4102893.10,5.07,18.81,2.61,-1.13
2022,4671425.18,4310711.19,8.37,5.02,1.54,14.35
2023,4905898.63,4671425.18,5.02,-0.29,-0.28,12.04
2024,4993445.75,4905898.63,1.78,3.22,0.67,6.21
2025,5008688.76,4993445.75,0.31,0.81,NULL,-1.68
2026,5099491.22,5008688.76,1.81,NULL,NULL,2.19
