"state","total_banks","unprofitable_banks","pct_unprofitable"
"New York",26,2,7.69
"West Virginia",14,1,7.14
"Florida",16,1,6.25
"California",16,1,6.25
"Connecticut",18,1,5.56
"Oklahoma",57,3,5.26
"Arkansas",40,2,5.00
"Alabama",23,1,4.35
"Colorado",23,1,4.35
"Georgia",70,3,4.29
"Louisiana",48,2,4.17
"South Dakota",25,1,4.00
"Iowa",131,5,3.82
"Illinois",161,6,3.73
"Kansas",108,4,3.70
"Wisconsin",84,3,3.57
"Michigan",33,1,3.03
"Tennessee",35,1,2.86
"Indiana",37,1,2.70
"Missouri",104,2,1.92
"Minnesota",109,1,0.92
"Texas",142,1,0.70
"Mississippi",24,0,0.00
"South Carolina",16,0,0.00
"Ohio",31,0,0.00
"Pennsylvania",13,0,0.00
"Montana",20,0,0.00
"Kentucky",34,0,0.00
"North Dakota",34,0,0.00
"Maine",15,0,0.00
"Nebraska",86,0,0.00
"New Mexico",14,0,0.00
